"Año";"Periodo";"Infracciones penales registradas"
"2013";"Trimestre 4";"49.972"
"2014";"Trimestre 4";"47.612"
"2015";"Trimestre 4";"43.988"
"2016";"Trimestre 4";"43.564"
"2017";"Trimestre 4";"46.901"
"2018";"Trimestre 4";"44.697"
"2019";"Trimestre 4";"49.006"
"2020";"Trimestre 4";"37.118"
"2021";"Trimestre 4";"38.530"
"2022";"Trimestre 4";"49.215"
"2023";"Trimestre 4";"53.810"
;;
;;
"Métrica":"Infracciones penales registradas"
"Fuente":"Ministerio del Interior"
"Clasificación":""
"Unidad":"Número de infracciones penales registradas en lo que va de año"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/cometido-infracciones-penales-ultimo-trimestre/02230260-9ac1-4923-92ec-3227ce3ab0d8/sevilla/6864"
"Titulo":"En Sevilla se han cometido 53.810 infracciones penales hasta el trimestre 4 de 2023﻿"
"Subtitulo":""
