,N°,N° valores únicos,Valor más frecuente,Fecuencia,Prom.,Mín.,25%,50%,75%,Máx.,Desv. est.
Precio,"843,102.00",,,,"366,969.06",45.00,"3,800.00","189,510.00","387,000.00","43,500,000.00","706,767.24"
sub_descr,757551,"99,520.00",Piso en Centro,6142,,,,,,,
href,843102,"390,822.00",/alquilar/piso-moncloa_aravaca_aravaca28023-30873860939_518087/,92,,,,,,,
ubicacion,842840,"12,232.00",Universidad-Malasaña (Distrito Centro. Madrid Capital),8161,,,,,,,
Habitaciones,"813,072.00",,,,3.02,1.00,2.00,3.00,4.00,140.00,1.48
Baños,"790,999.00",,,,2.06,1.00,1.00,2.00,2.00,332.00,1.88
mt2,"843,102.00",,,,207.71,1.00,77.00,108.00,175.00,"1,000,000.00","6,081.07"
Planta,"246,496.00",,,,3.06,1.00,1.00,3.00,4.00,20.00,2.21
Otros,841758,"226,318.00","DISCLAIMER: By clicking the contact button, you will be able to get in touch with the property manager partner and to rent your home 100% online...",3494,,,,,,,
Latitud,"710,845.00",,,,39.32,0.00,37.28,40.25,40.45,43.51,1.93
Longitud,"710,845.00",,,,-2.90,-16.75,-3.80,-3.67,-0.80,3.21,2.28
ccaa,667408,6.00,Andalucía,278780,,,,,,,
alquiler_venta,843102,2.00,venta,597578,,,,,,,
Fecha de extracción,843102,,,,2024-06-26 11:53:44.313071872,2023-06-10 00:00:00,2024-06-23 00:00:00,2024-07-18 00:00:00,2024-08-27 00:00:00,2024-09-17 00:00:00,
geocoding_error,132055,2.00,No results found,110463,,,,,,,
mes_publicado,"843,102.00",,,,7.30,1.00,6.00,7.00,9.00,12.00,2.02
Precio por mt2,"843,102.00",,,,"2,322.01",0.04,31.25,"1,785.71","3,250.00","400,000.00","2,828.91"
