,N°,Prom.,Desv. est.,Mín.,25%,50%,75%,Máx.
Precio,597578.0,516745.7388976836,792287.5700080023,8860.0,174999.0,285000.0,525000.0,43500000.0
Habitaciones,581708.0,3.1903601119462,1.4702093191950552,1.0,2.0,3.0,4.0,140.0
Baños,576719.0,2.1243898675091337,2.0812899605491872,1.0,1.0,2.0,3.0,332.0
Metros cuadrados,597578.0,159.56113176857247,133.79006869124845,35.0,81.0,114.0,186.0,837.0
Planta,151582.0,2.8691203441041813,2.1025372144430934,1.0,1.0,2.0,4.0,20.0
Latitud,529055.0,39.28678599096023,1.9970392822020888,0.0,37.2217446,39.581884345,40.457793,43.506739588
Longitud,529055.0,-2.834912860519014,2.3573615998375734,-16.7494329,-3.8339771,-3.6596765,-0.6828446,3.2054
mes_publicado,597578.0,7.3051384087098254,1.9707716894536065,1.0,7.0,7.0,9.0,12.0
Precio por m²,597578.0,3267.7879550113034,2866.894834699042,1.346112427309929,1616.0220994475137,2542.3728813559323,4017.065795839381,400000.0
